group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
0,GBP5,13.394395,,6.520521817328681e-41,6.97382012548522e-40,1.0,1.0
0,DPYSL2,13.393184,,6.627750151219003e-41,7.050798033211705e-40,1.0,1.0
0,SLC15A3,13.335008,,1.4483993161392363e-40,1.532697689036229e-39,1.0,1.0
0,VCAN,13.285323,,2.8163929917654788e-40,2.964624201858399e-39,1.0,1.0
0,GIMAP1,13.270663,,3.4253633330457607e-40,3.586767888006032e-39,1.0,1.0
0,GIMAP5,13.264241,,3.731785751672734e-40,3.887276824659098e-39,1.0,1.0
0,C1orf162,13.260495,,3.9229641895001186e-40,4.065247864766962e-39,1.0,1.0
0,EVI2B,13.228119,,6.037976259134184e-40,6.224717792921839e-39,1.0,1.0
0,DOK2,13.195743,,9.2835852930456e-40,9.52162594158523e-39,1.0,1.0
0,SASH3,13.129919,,2.2189351583075646e-39,2.2642195492934333e-38,1.0,1.0
0,MX1,13.122878,,2.4350964009235317e-39,2.472179087232012e-38,1.0,1.0
0,ACAP1,13.075573,,4.54126781774364e-39,4.5871392098420604e-38,1.0,1.0
0,ACKR1,13.07408,,4.631297046580058e-39,4.6545698960603596e-38,1.0,1.0
0,GBP2,13.055885,,5.88220487450726e-39,5.88220487450726e-38,1.0,1.0
0,PLEKHO2,13.001793,,1.1950758711085556e-38,1.1891302200085129e-37,1.0,1.0
0,SLC40A1,12.947067,,2.4410225430396073e-38,2.416854003009512e-37,1.0,1.0
0,FMNL1,12.937435,,2.767158807716771e-38,2.7262648351889367e-37,1.0,1.0
0,LAIR1,12.897256,,4.6640919906969514e-38,4.550333649460441e-37,1.0,1.0
0,ARL4C,12.88475,,5.485242377170522e-38,5.325478036087886e-37,1.0,1.0
0,GGT5,12.84991,,8.611060498672461e-38,8.31986521610866e-37,1.0,1.0
0,CYBB,12.786467,,1.9514656499521938e-37,1.8687849332726498e-36,1.0,1.0
0,EGR1,12.78641,,1.952880255269919e-37,1.8687849332726498e-36,1.0,1.0
0,BIRC3,12.761695,,2.68299297260716e-37,2.55523140248301e-36,1.0,1.0
0,CD6,12.716108,,4.812354938416499e-37,4.5614738752763026e-36,1.0,1.0
0,TMC8,12.681676,,7.471687228156021e-37,7.015668758831945e-36,1.0,1.0
0,VWF,12.6704235,,8.624708794976453e-37,8.060475509323788e-36,1.0,1.0
0,SEPTIN1,12.632809,,1.3921891604143628e-36,1.295059684106384e-35,1.0,1.0
0,MICAL1,12.632161,,1.4036999402596294e-36,1.2997221669070642e-35,1.0,1.0
0,UNC93B1,12.612403,,1.8040820226299944e-36,1.662748407953912e-35,1.0,1.0
0,TMEM119,12.527624,,5.271862276227007e-36,4.836570895621108e-35,1.0,1.0
0,APOD,12.47332,,1.0438416085624349e-35,9.532800078195752e-35,1.0,1.0
0,SERPINA1,12.467251,,1.1264593773142562e-35,1.0240539793765965e-34,1.0,1.0
0,TCF4,12.454731,,1.3179517980995752e-35,1.1927165593661315e-34,1.0,1.0
0,CALHM6,12.444309,,1.5017720383502724e-35,1.3529477822975426e-34,1.0,1.0
0,CAVIN1,12.399202,,2.6393803443974106e-35,2.367157259549247e-34,1.0,1.0
0,RASAL3,12.394569,,2.796451142807167e-35,2.485734349161926e-34,1.0,1.0
0,NCKAP1L,12.382345,,3.256851222471007e-35,2.88216922342567e-34,1.0,1.0
0,VEGFB,12.367234,,3.9312627005505917e-35,3.4636675775776135e-34,1.0,1.0
0,IFI27L2,12.365459,,4.0190504640442075e-35,3.525482863196673e-34,1.0,1.0
